#,Distance[3],,Designation,,,Stellar class,Apparent magnitude,Absolute magnitude,Epoch J2000.0,,,,,,Parallax[2][4],Discovery date[5],Additional
,Light-years,(±err),System,Star,Star #,,,,Right ascension[h],[m],[s],Declination[°],['],"[""]",mas(±err),,references
28,12.777,43,Kapteyn's Star (CD?45°1841),,42,M1.5V,8.84,10.87,5, 11, 40.6,?45° 01? 06?,,,255.27(086)[6][7],1898,
29,12.87,57,Lacaille 8760 (AX Microscopii),,43,M0.0V,6.67,8.69,21, 17, 15.3,?38° 52? 03?,,,253.43(112)[6][7],1753,
30,13.149,74,Kruger 60,Kruger 60 A,44,M3.0V,9.79,11.76,22, 27, 59.5,+57° 41? 45?,,,248.06(139)[6][9],1880,
,,,(BD+56°2783),Kruger 60 B (DO Cephei),44,M4.0V,11.41,13.38,,,,,,,,1890?,
31,13.167,82,DEN 1048-3956,,46,M8.5V,17.39,19.37,10, 48, 14.7,?39° 56? 06?,,,247.71(155)[19],2001,[25][26]
32,13.259,,UGPS 0722-05,,47,T9,16.52,,7, 22, 27.3,–05° 40? 30?,,,246,2010,[28]
33,13.349,110,Ross 614,Ross 614A (LHS 1849),48,M4.5V,11.15,13.09,6, 29, 23.4,?02° 48? 50?,,,244.34(201)[6][9],1927,
,,,"(V577 Monocerotis, Gliese 234)",Ross 614B (LHS 1850),48,M5.5V,14.23,16.17,,,,,,,,1936,
34,13.82,98,"Wolf 1061 (Gliese 628, BD?12°4523)",,50,M3.0V,10.07,11.93,16, 30, 18.1,?12° 39? 45?,,,236.01(167)[6][7],1919,
35,14.066,109,"Van Maanen's star (Gliese 35, LHS 7)",,52,DZ7,12.38,14.21,0, 49, 09.9,+05° 23? 19?,,,231.88(179)[6][7],1896,
36,14.231,66,Gliese 1 (CD?37°15492),,53,M3.0V,8.55,10.35,0, 05, 24.4,?37° 21? 27?,,,229.20(107)[6][7],1884,
37,14.312,289,Wolf 424,Wolf 424 A,54,M5.5Ve,13.18,14.97,12, 33, 17.2,+09° 01? 15?,,,227.90(460)[6],,
,,,"(FL Virginis, LHS 333, Gliese 473)",Wolf 424 B,54,M7Ve,13.17,14.96,,,,,,,,,
38,14.509,187,"TZ Arietis (Gliese 83.1, Luyten 1159-16)",,56,M4.5V,12.27,14.03,2, 00, 13.2,+13° 03? 08?,,,224.80(290)[6],,
39,14.793,55,"Gliese 687 (LHS 450, BD+68°946)",,57,M3.0V,9.17,10.89,17, 36, 25.9,+68° 20? 21?,,,220.49(082)[6][7],,
